Month,genie: (United States),sinbad: (United States)
2004-01,76,9
2004-02,75,7
2004-03,72,6
2004-04,75,6
2004-05,73,7
2004-06,80,6
2004-07,81,5
2004-08,81,5
2004-09,71,5
2004-10,75,5
2004-11,69,5
2004-12,68,5
2005-01,62,5
2005-02,61,6
2005-03,61,6
2005-04,61,6
2005-05,67,5
2005-06,72,6
2005-07,72,6
2005-08,66,5
2005-09,66,5
2005-10,71,5
2005-11,67,6
2005-12,67,6
2006-01,62,6
2006-02,59,5
2006-03,55,4
2006-04,62,4
2006-05,57,4
2006-06,68,4
2006-07,72,5
2006-08,66,4
2006-09,59,3
2006-10,67,5
2006-11,64,6
2006-12,60,5
2007-01,57,5
2007-02,58,4
2007-03,54,68
2007-04,55,5
2007-05,55,5
2007-06,62,5
2007-07,59,5
2007-08,58,4
2007-09,55,5
2007-10,58,5
2007-11,55,4
2007-12,58,5
2008-01,55,5
2008-02,55,4
2008-03,52,9
2008-04,51,5
2008-05,53,5
2008-06,52,4
2008-07,55,3
2008-08,53,4
2008-09,55,4
2008-10,56,5
2008-11,51,5
2008-12,49,7
2009-01,49,4
2009-02,49,4
2009-03,48,4
2009-04,47,5
2009-05,49,5
2009-06,52,4
2009-07,53,4
2009-08,52,4
2009-09,52,5
2009-10,55,5
2009-11,50,6
2009-12,51,6
2010-01,48,6
2010-02,45,13
2010-03,48,10
2010-04,48,6
2010-05,49,8
2010-06,47,5
2010-07,47,6
2010-08,48,6
2010-09,49,5
2010-10,52,6
2010-11,46,5
2010-12,46,6
2011-01,52,7
2011-02,51,8
2011-03,57,7
2011-04,66,14
2011-05,70,11
2011-06,72,7
2011-07,77,7
2011-08,70,7
2011-09,65,4
2011-10,68,5
2011-11,59,6
2011-12,60,6
2012-01,56,5
2012-02,56,6
2012-03,56,5
2012-04,55,5
2012-05,55,5
2012-06,58,5
2012-07,61,6
2012-08,59,6
2012-09,59,7
2012-10,69,5
2012-11,66,6
2012-12,64,6
2013-01,100,5
2013-02,91,6
2013-03,83,6
2013-04,83,6
2013-05,66,8
2013-06,68,12
2013-07,71,11
2013-08,67,10
2013-09,68,6
2013-10,70,6
2013-11,66,7
2013-12,68,7
2014-01,71,7
2014-02,62,6
2014-03,61,8
2014-04,61,7
2014-05,62,7
2014-06,65,11
2014-07,69,9
2014-08,91,7
2014-09,67,7
2014-10,68,6
2014-11,66,8
2014-12,72,8
2015-01,70,9
2015-02,62,7
2015-03,65,7
2015-04,61,7
2015-05,74,7
2015-06,70,7
2015-07,70,8
2015-08,69,8
2015-09,69,7
2015-10,69,8
2015-11,65,6
2015-12,65,9
2016-01,63,7
2016-02,62,6
2016-03,69,7
2016-04,66,8
2016-05,63,8
2016-06,62,9
2016-07,61,14
2016-08,59,11
2016-09,59,8
2016-10,62,9
2016-11,57,9
2016-12,72,30
2017-01,71,39
2017-02,83,13
2017-03,61,11
2017-04,59,13
2017-05,58,12
2017-06,59,11
2017-07,62,12
2017-08,63,10
2017-09,60,9
2017-10,64,9
2017-11,61,10
2017-12,66,11
2018-01,71,10
2018-02,68,10
2018-03,61,11
2018-04,64,8
2018-05,63,9
2018-06,62,8
2018-07,69,11
2018-08,65,10
2018-09,62,12
2018-10,67,9
2018-11,63,9
2018-12,75,13
2019-01,67,10
2019-02,94,9
2019-03,69,10
2019-04,63,11
2019-05,68,10
2019-06,68,8
2019-07,63,9
2019-08,59,9
2019-09,59,9
2019-10,61,9
2019-11,56,11
2019-12,51,11
